gene,enhancer_1,enhancer_2
TYROBP,chr19-35495028-35495737,chr19-36378402-36379605
TYROBP,chr19-35495028-35495737,chr19-35716251-35718647
TYROBP,chr19-35495028-35495737,chr19-35993992-35995949
TYROBP,chr19-35612010-35613247,chr19-35739998-35741141
TYROBP,chr19-35612010-35613247,chr19-35774655-35776053
TYROBP,chr19-35612010-35613247,chr19-35931004-35931948
TYROBP,chr19-35612010-35613247,chr19-36013579-36014838
TYROBP,chr19-35612010-35613247,chr19-36127316-36128580
TYROBP,chr19-35612010-35613247,chr19-36139313-36141497
TYROBP,chr19-35612010-35613247,chr19-36378402-36379605
TYROBP,chr19-35612010-35613247,chr19-35716251-35718647
TYROBP,chr19-35612010-35613247,chr19-35993992-35995949
TYROBP,chr19-35739998-35741141,chr19-35774655-35776053
TYROBP,chr19-35739998-35741141,chr19-35931004-35931948
TYROBP,chr19-35739998-35741141,chr19-36013579-36014838
TYROBP,chr19-35739998-35741141,chr19-36127316-36128580
TYROBP,chr19-35739998-35741141,chr19-36139313-36141497
TYROBP,chr19-35739998-35741141,chr19-36378402-36379605
TYROBP,chr19-35739998-35741141,chr19-35716251-35718647
TYROBP,chr19-35739998-35741141,chr19-35993992-35995949
TYROBP,chr19-35774655-35776053,chr19-35931004-35931948
TYROBP,chr19-35774655-35776053,chr19-36013579-36014838
TYROBP,chr19-35774655-35776053,chr19-36127316-36128580
TYROBP,chr19-35774655-35776053,chr19-36139313-36141497
TYROBP,chr19-35774655-35776053,chr19-36378402-36379605
TYROBP,chr19-35774655-35776053,chr19-35716251-35718647
TYROBP,chr19-35774655-35776053,chr19-35993992-35995949
TYROBP,chr19-35931004-35931948,chr19-36013579-36014838
TYROBP,chr19-35931004-35931948,chr19-36127316-36128580
TYROBP,chr19-35931004-35931948,chr19-36139313-36141497
TYROBP,chr19-35931004-35931948,chr19-36378402-36379605
TYROBP,chr19-35931004-35931948,chr19-35716251-35718647
TYROBP,chr19-35931004-35931948,chr19-35993992-35995949
TYROBP,chr19-36013579-36014838,chr19-36127316-36128580
TYROBP,chr19-36013579-36014838,chr19-36139313-36141497
TYROBP,chr19-36013579-36014838,chr19-36378402-36379605
TYROBP,chr19-36013579-36014838,chr19-35716251-35718647
TYROBP,chr19-36013579-36014838,chr19-35993992-35995949
TYROBP,chr19-36127316-36128580,chr19-36139313-36141497
TYROBP,chr19-36127316-36128580,chr19-36378402-36379605
TYROBP,chr19-36127316-36128580,chr19-35716251-35718647
TYROBP,chr19-36127316-36128580,chr19-35993992-35995949
TYROBP,chr19-36139313-36141497,chr19-36378402-36379605
TYROBP,chr19-36139313-36141497,chr19-35716251-35718647
TYROBP,chr19-36139313-36141497,chr19-35993992-35995949
TYROBP,chr19-36378402-36379605,chr19-35716251-35718647
TYROBP,chr19-36378402-36379605,chr19-35993992-35995949
TYROBP,chr19-35716251-35718647,chr19-35993992-35995949
HLA-DRA,chr6-32189750-32190534,chr6-32439184-32440116
HLA-DRA,chr6-32189750-32190534,chr6-32529518-32530725
HLA-DRA,chr6-32189750-32190534,chr6-32589000-32590112
HLA-DRA,chr6-32189750-32190534,chr6-32622245-32623990
HLA-DRA,chr6-32189750-32190534,chr6-32627719-32628215
HLA-DRA,chr6-32189750-32190534,chr6-32666204-32666875
HLA-DRA,chr6-32189750-32190534,chr6-32668092-32668702
HLA-DRA,chr6-32189750-32190534,chr6-32796682-32797757
HLA-DRA,chr6-32189750-32190534,chr6-32472659-32474242
HLA-DRA,chr6-32189750-32190534,chr6-32636861-32637580
HLA-DRA,chr6-32439184-32440116,chr6-32529518-32530725
HLA-DRA,chr6-32439184-32440116,chr6-32589000-32590112
HLA-DRA,chr6-32439184-32440116,chr6-32622245-32623990
HLA-DRA,chr6-32439184-32440116,chr6-32627719-32628215
HLA-DRA,chr6-32439184-32440116,chr6-32666204-32666875
HLA-DRA,chr6-32439184-32440116,chr6-32668092-32668702
HLA-DRA,chr6-32439184-32440116,chr6-32796682-32797757
HLA-DRA,chr6-32439184-32440116,chr6-32472659-32474242
HLA-DRA,chr6-32439184-32440116,chr6-32636861-32637580
HLA-DRA,chr6-32529518-32530725,chr6-32589000-32590112
HLA-DRA,chr6-32529518-32530725,chr6-32622245-32623990
HLA-DRA,chr6-32529518-32530725,chr6-32627719-32628215
HLA-DRA,chr6-32529518-32530725,chr6-32666204-32666875
HLA-DRA,chr6-32529518-32530725,chr6-32668092-32668702
HLA-DRA,chr6-32529518-32530725,chr6-32796682-32797757
HLA-DRA,chr6-32529518-32530725,chr6-32472659-32474242
HLA-DRA,chr6-32529518-32530725,chr6-32636861-32637580
HLA-DRA,chr6-32589000-32590112,chr6-32622245-32623990
HLA-DRA,chr6-32589000-32590112,chr6-32627719-32628215
HLA-DRA,chr6-32589000-32590112,chr6-32666204-32666875
HLA-DRA,chr6-32589000-32590112,chr6-32668092-32668702
HLA-DRA,chr6-32589000-32590112,chr6-32796682-32797757
HLA-DRA,chr6-32589000-32590112,chr6-32472659-32474242
HLA-DRA,chr6-32589000-32590112,chr6-32636861-32637580
HLA-DRA,chr6-32622245-32623990,chr6-32627719-32628215
HLA-DRA,chr6-32622245-32623990,chr6-32666204-32666875
HLA-DRA,chr6-32622245-32623990,chr6-32668092-32668702
HLA-DRA,chr6-32622245-32623990,chr6-32796682-32797757
