"gene" "peak" "beta" "se" "z" "p" "boot_basic_p"
"MSL1" "chr17-39621901-39622291" -0.0784760442711476 0.137562290237023 -0.570476430247936 0.568354603816203 0.62
"MSL1" "chr17-39623243-39623704" -0.33920584620443 0.182338379085327 -1.86030965014609 0.0628417290294851 0.18
"MSL1" "chr17-39636539-39637782" -0.0495608593110635 0.0943693491553838 -0.525179624047836 0.599458328199813 0.52
"MSL1" "chr17-39659174-39659915" -0.154074989151807 0.191081094638183 -0.806332983613852 0.420050877063165 0.64
"MSL1" "chr17-39667034-39668678" -0.0786926537204344 0.15444119281771 -0.509531507007439 0.610379719577961 0.64
"MSL1" "chr17-39687369-39688721" 0.0744788696500293 0.106047488697807 0.702316203472431 0.48248199044056 0.56
"MSL1" "chr17-39729823-39730965" -0.0361578577162706 0.0870895944441852 -0.415179998793585 0.678010139585183 0.84
"MSL1" "chr17-39753613-39755105" 0.0362579613741079 0.0949580828728061 0.381831227813166 0.702586554145384 0.64
"MSL1" "chr17-39952247-39953615" -0.129213382870707 0.0918881610193049 -1.40620272989859 0.15966393378183 0.12
"MSL1" "chr17-39958763-39959334" -0.142839057257614 0.123247468731729 -1.15896138661094 0.246471924799384 0.3
"MSL1" "chr17-39966880-39967827" -0.0309013934956831 0.114069775766612 -0.270899046552942 0.786468678358491 0.7
"MSL1" "chr17-39979466-39981336" 0.187126250539427 0.094654239187802 1.9769452709683 0.048047816838083 0.0656
"MSL1" "chr17-40013373-40014055" -0.307936142519885 0.171259759137408 -1.79806478807912 0.0721667414375606 0.12
"MSL1" "chr17-40026681-40027364" 0.0648032227796047 0.18249422784827 0.355097383318247 0.722516636891188 0.72
"MSL1" "chr17-40053767-40054853" -0.0499331635944524 0.0990864947445878 -0.50393510965509 0.61430697735375 0.48
"MSL1" "chr17-40062297-40063739" 0.015242438394477 0.0998822994859494 0.152603999636805 0.878710570693232 0.94
"MSL1" "chr17-40068602-40070299" 0.00275409990913512 0.13763766411582 0.0200097838540589 0.984035567741982 0.96
"MSL1" "chr17-40095547-40096575" 0.00202439249385723 0.0866812506986293 0.0233544449063798 0.981367542782298 0.92
"MSL1" "chr17-40098744-40099563" -0.0671879650807353 0.0896929302991148 -0.749088750436314 0.453803714970715 0.26
"MSL1" "chr17-40100325-40101470" -0.0258873627122071 0.0877945520512014 -0.294862973924733 0.768098557562837 0.86
