"gene" "peak" "beta" "se" "z" "p" "boot_basic_p"
"ANTKMT" "chr16-234201-235752" -0.00567794613445916 0.111202371831113 -0.0510595776057946 0.959278046350512 0.96
"ANTKMT" "chr16-252223-253331" -0.141527970444212 0.21211816618908 -0.667212870009705 0.504636171502067 0.56
"ANTKMT" "chr16-324486-325518" -0.327400065098207 0.202522031198791 -1.61661456366117 0.105961506244178 0.22
"ANTKMT" "chr16-351896-354050" 0.008361209137285 0.112811102147589 0.0741168996500556 0.940917368269395 0.9
"ANTKMT" "chr16-361821-362529" 0.119666101307145 0.176343594226483 0.678596247468196 0.497393721161591 0.44
"ANTKMT" "chr16-370287-371339" -0.0475875274352709 0.12119645893608 -0.392647836851149 0.694579602640965 0.7
"ANTKMT" "chr16-380900-382594" 0.195704532482316 0.107655884251897 1.81787120919836 0.0690838196727479 0.22
"ANTKMT" "chr16-391630-392985" -0.382024818895408 0.172519803506717 -2.21438241367192 0.0268024836331367 0.0504
"ANTKMT" "chr16-400376-402214" -0.196969148411725 0.108402297668106 -1.81702005076298 0.0692140432365122 0.1
"ANTKMT" "chr16-526749-528888" 0.0233730526003654 0.108436164614014 0.215546655339234 0.829341141094748 0.8
"ANTKMT" "chr16-569320-570355" -0.169366633171476 0.145138653608579 -1.16692989055994 0.243238683715912 0.16
"ANTKMT" "chr16-578603-579387" -0.123938348582948 0.152873652890797 -0.810724060289717 0.417524152974213 0.32
"ANTKMT" "chr16-592711-593069" -0.144768306172129 0.137491828498364 -1.05292298279276 0.292376291746934 0.38
"ANTKMT" "chr16-635654-637373" -0.16773457390441 0.109461589917427 -1.53236010943146 0.125433595487729 0.2
"ANTKMT" "chr16-641454-642980" -0.0074494313897466 0.112411699356682 -0.066269182232621 0.94716351828883 1
"ANTKMT" "chr16-648065-649836" 0.0374626997316707 0.107212703767572 0.34942407396876 0.726770962557633 0.84
"ANTKMT" "chr16-660138-661242" 0.18349419948561 0.106390997845632 1.72471546654587 0.0845787623409272 0.18
"ANTKMT" "chr16-667486-669099" -0.0114845943462232 0.107154078664303 -0.107178321995588 0.914647512896127 0.96
"ANTKMT" "chr16-679330-680557" 0.0538714332249896 0.108281661195417 0.497512068343386 0.618827994645972 0.54
"ANTKMT" "chr16-683846-684810" -0.193575618806515 0.107271102165784 -1.80454581800931 0.071145783219163 0.1
"ANTKMT" "chr16-689854-690611" 0.165089123505222 0.125055619687414 1.32012558826124 0.186793090796802 0.14
"ANTKMT" "chr16-694385-696021" -0.126780552441843 0.181114532647884 -0.700002095846857 0.483925995574257 0.6
"ANTKMT" "chr16-711579-712008" 0.275107215444011 0.149222507184238 1.84360402887715 0.0652408684502722 0.0752
"ANTKMT" "chr16-714500-715958" -0.116220495608299 0.125820213977973 -0.923702892673869 0.355641025634812 0.4
"ANTKMT" "chr16-726599-728601" 0.0923841549450887 0.127896568845193 0.722334897481974 0.470088602315846 0.38
"ANTKMT" "chr16-740189-741470" -0.143907766635545 0.109783177157642 -1.31083623521755 0.189913097560165 0.22
"ANTKMT" "chr16-785437-785882" -0.0529412584485047 0.185440470651824 -0.28548923685545 0.775269349203234 0.88
"ANTKMT" "chr16-787705-788944" -0.0721608445820862 0.109926558270683 -0.656445955529665 0.511537229998007 0.48
"ANTKMT" "chr16-806815-808064" 0.153323127745057 0.106852015366986 1.43491095809906 0.151312472665077 0.18
"ANTKMT" "chr16-970018-971452" 0.0426545304523081 0.109454187368235 0.389702134545171 0.69675681792828 0.58
"ANTKMT" "chr16-979934-982418" -0.414532198966214 0.228740374802216 -1.81223887267233 0.0699492950524237 0.14
"ANTKMT" "chr16-228557-229595" -0.0277180363598257 0.1165790306417 -0.237761767337179 0.81206587361673 0.76
"ANTKMT" "chr16-326982-327895" 0.000942756812734948 0.144790671373653 0.00651117094624164 0.994804873937467 0.98
"ANTKMT" "chr16-424495-426805" -0.10317551930178 0.120345841960353 -0.857325169038828 0.391265202380938 0.26
"ANTKMT" "chr16-588359-590571" 0.115742865199111 0.140106741726306 0.826104895260579 0.408744591013472 0.36
"ANTKMT" "chr16-720312-722236" -0.108786853848143 0.130835357391286 -0.831479013144721 0.405703079303416 0.4
"CIAO3" "chr16-234201-235752" 0.364864876399203 0.150898107734453 2.41795528040209 0.0156079948721198 0.0368
"CIAO3" "chr16-252223-253331" -0.00611344001721068 0.260714939014248 -0.0234487522668449 0.981292316996391 0.92
