gene,enhancer_1,enhancer_2
FOSB,chr19-45484967-45486113,chr19-45498375-45499608
FOSB,chr19-45484967-45486113,chr19-45506114-45507826
FOSB,chr19-45484967-45486113,chr19-45716684-45718233
FOSB,chr19-45484967-45486113,chr19-45729704-45731241
FOSB,chr19-45484967-45486113,chr19-45768254-45771017
FOSB,chr19-45484967-45486113,chr19-45790710-45791359
FOSB,chr19-45484967-45486113,chr19-45816640-45817489
FOSB,chr19-45484967-45486113,chr19-45901253-45903565
FOSB,chr19-45484967-45486113,chr19-45514515-45516517
FOSB,chr19-45496364-45497288,chr19-45498375-45499608
FOSB,chr19-45496364-45497288,chr19-45506114-45507826
FOSB,chr19-45496364-45497288,chr19-45716684-45718233
FOSB,chr19-45496364-45497288,chr19-45729704-45731241
FOSB,chr19-45496364-45497288,chr19-45768254-45771017
FOSB,chr19-45496364-45497288,chr19-45790710-45791359
FOSB,chr19-45496364-45497288,chr19-45816640-45817489
FOSB,chr19-45496364-45497288,chr19-45901253-45903565
FOSB,chr19-45496364-45497288,chr19-45514515-45516517
FOSB,chr19-45498375-45499608,chr19-45506114-45507826
FOSB,chr19-45498375-45499608,chr19-45716684-45718233
FOSB,chr19-45498375-45499608,chr19-45729704-45731241
FOSB,chr19-45498375-45499608,chr19-45768254-45771017
FOSB,chr19-45498375-45499608,chr19-45790710-45791359
FOSB,chr19-45498375-45499608,chr19-45816640-45817489
FOSB,chr19-45498375-45499608,chr19-45901253-45903565
FOSB,chr19-45498375-45499608,chr19-45514515-45516517
FOSB,chr19-45506114-45507826,chr19-45716684-45718233
FOSB,chr19-45506114-45507826,chr19-45729704-45731241
FOSB,chr19-45506114-45507826,chr19-45768254-45771017
FOSB,chr19-45506114-45507826,chr19-45790710-45791359
FOSB,chr19-45506114-45507826,chr19-45816640-45817489
FOSB,chr19-45506114-45507826,chr19-45901253-45903565
FOSB,chr19-45506114-45507826,chr19-45514515-45516517
FOSB,chr19-45716684-45718233,chr19-45729704-45731241
FOSB,chr19-45716684-45718233,chr19-45768254-45771017
FOSB,chr19-45716684-45718233,chr19-45790710-45791359
FOSB,chr19-45716684-45718233,chr19-45816640-45817489
FOSB,chr19-45716684-45718233,chr19-45901253-45903565
FOSB,chr19-45716684-45718233,chr19-45514515-45516517
FOSB,chr19-45729704-45731241,chr19-45768254-45771017
FOSB,chr19-45729704-45731241,chr19-45790710-45791359
FOSB,chr19-45729704-45731241,chr19-45816640-45817489
FOSB,chr19-45729704-45731241,chr19-45901253-45903565
FOSB,chr19-45729704-45731241,chr19-45514515-45516517
FOSB,chr19-45768254-45771017,chr19-45790710-45791359
FOSB,chr19-45768254-45771017,chr19-45816640-45817489
FOSB,chr19-45768254-45771017,chr19-45901253-45903565
FOSB,chr19-45768254-45771017,chr19-45514515-45516517
FOSB,chr19-45790710-45791359,chr19-45816640-45817489
FOSB,chr19-45790710-45791359,chr19-45901253-45903565
FOSB,chr19-45790710-45791359,chr19-45514515-45516517
FOSB,chr19-45816640-45817489,chr19-45901253-45903565
FOSB,chr19-45816640-45817489,chr19-45514515-45516517
FOSB,chr19-45901253-45903565,chr19-45514515-45516517
C5AR1,chr19-47309386-47310128,chr19-47323310-47324834
C5AR1,chr19-47309386-47310128,chr19-47336613-47337312
C5AR1,chr19-47323310-47324834,chr19-47336613-47337312
RPL18,chr19-48203582-48204673,chr19-48330110-48330566
RPL18,chr19-48203582-48204673,chr19-48511225-48512524
RPL18,chr19-48203582-48204673,chr19-48644602-48646895
RPL18,chr19-48330110-48330566,chr19-48511225-48512524
RPL18,chr19-48330110-48330566,chr19-48644602-48646895
RPL18,chr19-48511225-48512524,chr19-48644602-48646895
FTL,chr19-48511225-48512524,chr19-48618630-48619718
FTL,chr19-48511225-48512524,chr19-48623943-48624531
FTL,chr19-48511225-48512524,chr19-48636788-48638536
FTL,chr19-48511225-48512524,chr19-48644602-48646895
FTL,chr19-48511225-48512524,chr19-48738414-48739696
FTL,chr19-48511225-48512524,chr19-48872065-48873367
FTL,chr19-48511225-48512524,chr19-48899720-48901330
FTL,chr19-48511225-48512524,chr19-49084633-49085925
FTL,chr19-48511225-48512524,chr19-49113772-49115131
FTL,chr19-48511225-48512524,chr19-49127544-49128612
FTL,chr19-48511225-48512524,chr19-49142677-49143200
FTL,chr19-48511225-48512524,chr19-49442557-49444013
FTL,chr19-48511225-48512524,chr19-49452580-49454103
FTL,chr19-48511225-48512524,chr19-48954004-48955395
FTL,chr19-48511225-48512524,chr19-49118475-49120354
FTL,chr19-48618630-48619718,chr19-48623943-48624531
FTL,chr19-48618630-48619718,chr19-48636788-48638536
FTL,chr19-48618630-48619718,chr19-48644602-48646895
FTL,chr19-48618630-48619718,chr19-48738414-48739696
FTL,chr19-48618630-48619718,chr19-48872065-48873367
FTL,chr19-48618630-48619718,chr19-48899720-48901330
FTL,chr19-48618630-48619718,chr19-49084633-49085925
FTL,chr19-48618630-48619718,chr19-49113772-49115131
