"gene","enhancer_1","enhancer_2","intercept","beta_estimate","beta_pvalue","bootstrap_pvalue"
"HLA-DPA1","chr6-33029051-33030140","chr6-32636861-32637580","-9.18518746979269","0.475476948551526","2.60970243209476e-25","4e-04"
"HLA-DPA1","chr6-33075303-33076229","chr6-32636861-32637580","-9.09128478700641","0.431875546796081","1.98220230070081e-22","4e-04"
"VIM","chr10-17023141-17024273","chr10-17025462-17026070","-7.3038524662222","0.131900221696421","1.29890962719515e-07","4e-04"
"VIM","chr10-17023141-17024273","chr10-17200348-17201851","-7.30275384179277","0.0711848556865686","0.000982433288086208","0.0284"
"VIM","chr10-17023141-17024273","chr10-17205822-17206756","-7.29782387752529","0.118699174919589","8.28299113457185e-07","0.0016"
"VIM","chr10-17023141-17024273","chr10-17216064-17217346","-7.34072646179768","0.144639106318312","2.04029395449686e-11","4e-04"
"VIM","chr10-17023141-17024273","chr10-17238043-17240207","-7.39802856233233","0.404063691079793","4.28660669030544e-76","4e-04"
"VIM","chr10-17025462-17026070","chr10-17200348-17201851","-7.29992875730712","0.0622172267799706","0.00263552059128365","0.0448"
"VIM","chr10-17025462-17026070","chr10-17205822-17206756","-7.30311887037201","0.118940012783609","1.69763480949139e-07","4e-04"
"VIM","chr10-17025462-17026070","chr10-17216064-17217346","-7.32715141392623","0.110753307289072","1.00973170069363e-07","4e-04"
"VIM","chr10-17025462-17026070","chr10-17238043-17240207","-7.38616062932234","0.388445308336989","3.3673633850695e-76","4e-04"
"VIM","chr10-17200348-17201851","chr10-17205822-17206756","-7.3506490092244","0.151323206623914","1.02391120396831e-07","4e-04"
"VIM","chr10-17200348-17201851","chr10-17216064-17217346","-7.36897629068294","0.0867482480119708","0.000424589050463654","0.0176"
"VIM","chr10-17200348-17201851","chr10-17238043-17240207","-7.42694931695112","0.360947342860341","4.71578195427711e-45","4e-04"
"VIM","chr10-17205822-17206756","chr10-17216064-17217346","-7.36037679870022","0.111786279776055","1.35928536588321e-07","4e-04"
