peak,gene
chr1-151457549-151459634,PIP5K1A
chr1-151472520-151473833,PIP5K1A
chr1-151510639-151512191,PIP5K1A
chr1-151539395-151541307,PIP5K1A
chr1-151593440-151594503,PIP5K1A
chr1-151611171-151613027,PIP5K1A
chr1-151619495-151620713,PIP5K1A
chr1-151653388-151654587,PIP5K1A
chr1-151720633-151721689,PIP5K1A
chr1-150765298-150766134,PIP5K1A
chr1-150770779-150771698,PSMD4
chr1-150789267-150789762,PSMD4
chr1-150791373-150791954,PSMD4
chr1-150875576-150877286,PSMD4
chr1-150922328-150922754,PSMD4
chr1-150925622-150926732,PSMD4
chr1-150973513-150975267,PSMD4
chr1-150977199-150977587,PSMD4
chr1-150979108-150979759,PSMD4
chr1-151001638-151002296,PSMD4
chr1-151006310-151007015,PSMD4
chr1-151007828-151009136,PSMD4
chr1-151024299-151024931,PSMD4
chr1-151047391-151048798,PSMD4
chr1-151056181-151056479,PSMD4
chr1-151057375-151058516,PSMD4
chr1-151058733-151059837,PSMD4
chr1-151069980-151071590,PSMD4
chr1-151130923-151132155,PSMD4
chr1-151145609-151147259,PSMD4
chr1-151155830-151157553,PSMD4
chr1-151165291-151166747,PSMD4
chr1-151189514-151190574,PSMD4
chr1-151196325-151196623,PSMD4
chr1-151197881-151199680,PSMD4
chr1-151251371-151251989,PSMD4
chr1-151254149-151255105,PSMD4
chr1-151277133-151277692,PSMD4
chr1-151280985-151283466,PSMD4
chr1-151311339-151312234,PSMD4
chr1-151326656-151328279,PSMD4
chr1-151340571-151341224,PSMD4
chr1-151346535-151347789,PSMD4
chr1-151398724-151400194,PSMD4
chr1-151443540-151444178,PSMD4
chr1-151457549-151459634,PSMD4
chr1-151472520-151473833,PSMD4
chr1-151510639-151512191,PSMD4
chr1-151539395-151541307,PSMD4
chr1-151593440-151594503,PSMD4
chr1-151611171-151613027,PSMD4
chr1-151619495-151620713,PSMD4
chr1-151653388-151654587,PSMD4
chr1-151720633-151721689,PSMD4
chr1-151762692-151763888,PSMD4
chr1-150765298-150766134,PSMD4
chr1-150791373-150791954,PI4KB
chr1-150875576-150877286,PI4KB
chr1-150922328-150922754,PI4KB
chr1-150925622-150926732,PI4KB
chr1-150973513-150975267,PI4KB
chr1-150977199-150977587,PI4KB
chr1-150979108-150979759,PI4KB
chr1-151001638-151002296,PI4KB
chr1-151006310-151007015,PI4KB
chr1-151007828-151009136,PI4KB
chr1-151024299-151024931,PI4KB
chr1-151047391-151048798,PI4KB
chr1-151056181-151056479,PI4KB
chr1-151057375-151058516,PI4KB
chr1-151058733-151059837,PI4KB
chr1-151069980-151071590,PI4KB
chr1-151130923-151132155,PI4KB
chr1-151145609-151147259,PI4KB
chr1-151155830-151157553,PI4KB
chr1-151165291-151166747,PI4KB
chr1-151189514-151190574,PI4KB
chr1-151196325-151196623,PI4KB
chr1-151197881-151199680,PI4KB
chr1-151251371-151251989,PI4KB
chr1-151254149-151255105,PI4KB
chr1-151277133-151277692,PI4KB
chr1-151280985-151283466,PI4KB
chr1-151311339-151312234,PI4KB
chr1-151326656-151328279,PI4KB
chr1-151340571-151341224,PI4KB
chr1-151346535-151347789,PI4KB
chr1-151398724-151400194,PI4KB
chr1-151443540-151444178,PI4KB
chr1-151457549-151459634,PI4KB
chr1-151472520-151473833,PI4KB
chr1-151510639-151512191,PI4KB
chr1-151539395-151541307,PI4KB
chr1-151593440-151594503,PI4KB
chr1-151611171-151613027,PI4KB
chr1-151619495-151620713,PI4KB
chr1-151653388-151654587,PI4KB
chr1-151720633-151721689,PI4KB
chr1-151762692-151763888,PI4KB
chr1-151789830-151791582,PI4KB
chr1-151815566-151816221,PI4KB
chr1-150922328-150922754,PSMB4
chr1-150925622-150926732,PSMB4
chr1-150973513-150975267,PSMB4
chr1-150977199-150977587,PSMB4
chr1-150979108-150979759,PSMB4
chr1-151001638-151002296,PSMB4
chr1-151006310-151007015,PSMB4
chr1-151007828-151009136,PSMB4
chr1-151024299-151024931,PSMB4
chr1-151047391-151048798,PSMB4
chr1-151056181-151056479,PSMB4
chr1-151057375-151058516,PSMB4
chr1-151058733-151059837,PSMB4
chr1-151069980-151071590,PSMB4
chr1-151130923-151132155,PSMB4
chr1-151145609-151147259,PSMB4
chr1-151155830-151157553,PSMB4
chr1-151165291-151166747,PSMB4
chr1-151189514-151190574,PSMB4
chr1-151196325-151196623,PSMB4
chr1-151197881-151199680,PSMB4
chr1-151251371-151251989,PSMB4
chr1-151254149-151255105,PSMB4
